temperature,city,pression,date
17.03,Paris,1011,2024-06-10_11-31-06
13.1,London,1010,2024-06-10_11-31-06
12.47,Washington,1015,2024-06-10_11-31-06
17.09,Paris,1011,2024-06-10_11-31-04
13.11,London,1010,2024-06-10_11-31-04
12.47,Washington,1015,2024-06-10_11-31-04
17.09,Paris,1011,2024-06-10_11-31-03
13.07,London,1010,2024-06-10_11-31-03
12.47,Washington,1015,2024-06-10_11-31-03
17.19,Paris,1011,2024-06-10_11-31-02
13.1,London,1010,2024-06-10_11-31-02
12.47,Washington,1015,2024-06-10_11-31-02
17.09,Paris,1011,2024-06-10_11-31-00
13.11,London,1010,2024-06-10_11-31-00
12.47,Washington,1015,2024-06-10_11-31-00
17.09,Paris,1011,2024-06-10_11-30-59
13.1,London,1010,2024-06-10_11-30-59
12.47,Washington,1015,2024-06-10_11-30-59
17.19,Paris,1011,2024-06-10_11-30-57
13.11,London,1010,2024-06-10_11-30-57
12.47,Washington,1015,2024-06-10_11-30-57
17.19,Paris,1011,2024-06-10_11-30-54
13.11,London,1010,2024-06-10_11-30-54
12.47,Washington,1015,2024-06-10_11-30-54
17.09,Paris,1011,2024-06-10_11-30-52
13.07,London,1010,2024-06-10_11-30-52
12.47,Washington,1015,2024-06-10_11-30-52
17.03,Paris,1011,2024-06-10_11-30-50
13.11,London,1010,2024-06-10_11-30-50
12.47,Washington,1015,2024-06-10_11-30-50
17.09,Paris,1011,2024-06-10_11-30-49
13.11,London,1010,2024-06-10_11-30-49
12.47,Washington,1015,2024-06-10_11-30-49
17.03,Paris,1011,2024-06-10_11-30-47
13.11,London,1010,2024-06-10_11-30-47
12.47,Washington,1015,2024-06-10_11-30-47
17.09,Paris,1011,2024-06-10_11-30-46
13.11,London,1010,2024-06-10_11-30-46
12.47,Washington,1015,2024-06-10_11-30-46
17.03,Paris,1011,2024-06-10_11-30-44
13.07,London,1010,2024-06-10_11-30-44
12.47,Washington,1015,2024-06-10_11-30-44
17.19,Paris,1011,2024-06-10_11-30-43
13.11,London,1010,2024-06-10_11-30-43
12.47,Washington,1015,2024-06-10_11-30-43
17.09,Paris,1011,2024-06-10_11-30-42
13.1,London,1010,2024-06-10_11-30-42
12.47,Washington,1015,2024-06-10_11-30-42
17.09,Paris,1011,2024-06-10_11-30-40
13.07,London,1010,2024-06-10_11-30-40
12.47,Washington,1015,2024-06-10_11-30-40
17.03,Paris,1011,2024-06-10_11-30-39
13.07,London,1010,2024-06-10_11-30-39
12.47,Washington,1015,2024-06-10_11-30-39
17.09,Paris,1011,2024-06-10_11-30-37
13.11,London,1010,2024-06-10_11-30-37
12.47,Washington,1015,2024-06-10_11-30-37
17.03,Paris,1011,2024-06-10_11-30-35
13.07,London,1010,2024-06-10_11-30-35
12.47,Washington,1015,2024-06-10_11-30-35
