temperature,city,pression,date
17.09,Paris,1011,2024-06-10_11-31-06
13.11,London,1010,2024-06-10_11-31-06
12.47,Washington,1015,2024-06-10_11-31-06
17.09,Paris,1011,2024-06-10_11-31-04
13.11,London,1010,2024-06-10_11-31-04
12.47,Washington,1015,2024-06-10_11-31-04
17.09,Paris,1011,2024-06-10_11-31-03
13.07,London,1010,2024-06-10_11-31-03
12.47,Washington,1015,2024-06-10_11-31-03
17.19,Paris,1011,2024-06-10_11-31-02
13.1,London,1010,2024-06-10_11-31-02
12.47,Washington,1015,2024-06-10_11-31-02
17.09,Paris,1011,2024-06-10_11-31-00
13.11,London,1010,2024-06-10_11-31-00
12.47,Washington,1015,2024-06-10_11-31-00
17.09,Paris,1011,2024-06-10_11-30-59
13.1,London,1010,2024-06-10_11-30-59
12.47,Washington,1015,2024-06-10_11-30-59
17.19,Paris,1011,2024-06-10_11-30-57
13.11,London,1010,2024-06-10_11-30-57
12.47,Washington,1015,2024-06-10_11-30-57
17.19,Paris,1011,2024-06-10_11-30-54
13.11,London,1010,2024-06-10_11-30-54
12.47,Washington,1015,2024-06-10_11-30-54
17.09,Paris,1011,2024-06-10_11-30-52
13.07,London,1010,2024-06-10_11-30-52
12.47,Washington,1015,2024-06-10_11-30-52
17.03,Paris,1011,2024-06-10_11-30-50
13.11,London,1010,2024-06-10_11-30-50
12.47,Washington,1015,2024-06-10_11-30-50
17.09,Paris,1011,2024-06-10_11-30-49
13.11,London,1010,2024-06-10_11-30-49
12.47,Washington,1015,2024-06-10_11-30-49
17.03,Paris,1011,2024-06-10_11-30-47
13.11,London,1010,2024-06-10_11-30-47
12.47,Washington,1015,2024-06-10_11-30-47
17.09,Paris,1011,2024-06-10_11-30-46
13.11,London,1010,2024-06-10_11-30-46
12.47,Washington,1015,2024-06-10_11-30-46
17.03,Paris,1011,2024-06-10_11-30-44
13.07,London,1010,2024-06-10_11-30-44
12.47,Washington,1015,2024-06-10_11-30-44
17.19,Paris,1011,2024-06-10_11-30-43
13.11,London,1010,2024-06-10_11-30-43
12.47,Washington,1015,2024-06-10_11-30-43
17.09,Paris,1011,2024-06-10_11-30-42
13.1,London,1010,2024-06-10_11-30-42
12.47,Washington,1015,2024-06-10_11-30-42
17.09,Paris,1011,2024-06-10_11-30-40
13.07,London,1010,2024-06-10_11-30-40
12.47,Washington,1015,2024-06-10_11-30-40
17.03,Paris,1011,2024-06-10_11-30-39
13.07,London,1010,2024-06-10_11-30-39
12.47,Washington,1015,2024-06-10_11-30-39
17.09,Paris,1011,2024-06-10_11-30-37
13.11,London,1010,2024-06-10_11-30-37
12.47,Washington,1015,2024-06-10_11-30-37
17.03,Paris,1011,2024-06-10_11-30-35
13.07,London,1010,2024-06-10_11-30-35
12.47,Washington,1015,2024-06-10_11-30-35
17.09,Paris,1011,2024-06-10_11-30-34
13.07,London,1010,2024-06-10_11-30-34
12.47,Washington,1015,2024-06-10_11-30-34
17.09,Paris,1011,2024-06-10_11-30-32
13.07,London,1010,2024-06-10_11-30-32
12.47,Washington,1015,2024-06-10_11-30-32
17.19,Paris,1011,2024-06-10_11-30-29
13.11,London,1010,2024-06-10_11-30-29
12.47,Washington,1015,2024-06-10_11-30-29
17.09,Paris,1011,2024-06-10_11-30-27
13.11,London,1010,2024-06-10_11-30-27
12.47,Washington,1015,2024-06-10_11-30-27
17.19,Paris,1011,2024-06-10_11-30-26
13.07,London,1010,2024-06-10_11-30-26
12.47,Washington,1015,2024-06-10_11-30-26
17.19,Paris,1011,2024-06-10_11-30-24
13.11,London,1010,2024-06-10_11-30-24
12.47,Washington,1015,2024-06-10_11-30-24
17.09,Paris,1011,2024-06-10_11-30-23
13.1,London,1010,2024-06-10_11-30-23
12.47,Washington,1015,2024-06-10_11-30-23
17.09,Paris,1011,2024-06-10_11-30-21
13.1,London,1010,2024-06-10_11-30-21
12.47,Washington,1015,2024-06-10_11-30-21
17.09,Paris,1011,2024-06-10_11-30-19
13.07,London,1010,2024-06-10_11-30-19
12.47,Washington,1015,2024-06-10_11-30-19
17.09,Paris,1011,2024-06-10_11-30-18
13.07,London,1010,2024-06-10_11-30-18
12.47,Washington,1015,2024-06-10_11-30-18
17.09,Paris,1011,2024-06-10_11-30-14
13.07,London,1010,2024-06-10_11-30-14
12.47,Washington,1015,2024-06-10_11-30-14
17.09,Paris,1011,2024-06-10_11-30-11
13.11,London,1010,2024-06-10_11-30-11
12.47,Washington,1015,2024-06-10_11-30-11
17.03,Paris,1011,2024-06-10_11-30-10
13.07,London,1010,2024-06-10_11-30-10
12.47,Washington,1015,2024-06-10_11-30-10
17.09,Paris,1011,2024-06-10_11-30-09
13.11,London,1010,2024-06-10_11-30-09
12.47,Washington,1015,2024-06-10_11-30-09
17.03,Paris,1011,2024-06-10_11-30-03
13.07,London,1010,2024-06-10_11-30-03
12.47,Washington,1015,2024-06-10_11-30-03
17.03,Paris,1011,2024-06-10_11-30-02
13.11,London,1010,2024-06-10_11-30-02
12.47,Washington,1015,2024-06-10_11-30-02
17.19,Paris,1011,2024-06-10_11-29-56
13.11,London,1010,2024-06-10_11-29-56
12.47,Washington,1015,2024-06-10_11-29-56
17.19,Paris,1011,2024-06-10_11-29-55
13.07,London,1010,2024-06-10_11-29-55
12.47,Washington,1015,2024-06-10_11-29-55
16.49,Paris,1011,2024-06-10 10:59
12.39,London,1010,2024-06-10 10:59
11.87,Washington,1015,2024-06-10 10:59
